@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-27,29-35,37-44,46-55,58-59-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_fert_farm_2007 numeric
@attribute p_crop_removal_2007 numeric
@attribute p_accumulated_ag_inputs_2007 numeric
@attribute bfiws numeric
@attribute agkffactws numeric
@attribute logchl_A {low,medium,high}

@data
0.68038,0.456769,0.376103,0.462852,-0.154824,-0.226962,0.664118,0.78226,0.153114,low
0.296761,0.460426,0.259722,-2.072484,-0.760475,-0.704667,-0.104857,0.43841,0.036068,low
0.224687,0.533894,0.477101,-2.105121,-0.363323,-0.212961,0.346441,0.912032,0.094674,medium
0.918057,0.430022,0.303094,0.470312,-0.222904,-0.315917,0.614464,0.853925,0.047743,low
0.416006,0.387299,0.178694,-1.784405,0.106372,-0.092812,0.331594,0.747122,0.155835,low
0.442304,0.470969,0.268042,-0.231715,-0.256301,-0.43841,0.421477,0.421483,0.084121,low
0.043576,0.440125,0.230959,-0.532693,-1.055057,-0.877114,-1.297934,0.547891,0,low
0.481866,0.61528,0.595529,-0.659703,1.560348,2.075491,1.238943,0.578025,0.601046,medium
0.745315,0.55843,0.536083,0.456115,1.298732,1.110746,1.383001,0.798859,0.183483,medium
0.44469,0.675636,0.577132,-1.032071,1.272928,1.363352,0.688483,0.51665,0.554941,medium
0.163809,0.284489,0,-1.813636,-1.037411,-0.86571,-0.959945,0.922569,0.007772,low
0.446496,0.688707,0.738195,-1.032071,1.186529,1.374987,0.755008,0.603031,0.44955,medium
0.312424,0.343572,0.193877,0.215948,-0.485979,-0.722442,-0.110605,0.785796,0.006636,low
0.492989,0.47779,0.303094,0.797162,0.436152,0.167541,0.801064,0.276909,0.207064,low
0.709647,0.545068,0.504263,0.483118,1.474513,2.003303,1.279592,0.661353,0.666896,medium
0.439711,0.685618,0.658939,-1.032071,1.089126,1.166638,0.72726,0.578025,0.216877,low
0.341788,0.411807,0.178694,-0.889733,-1.055057,-0.877114,-1.297934,0.760557,0,low
0.195583,0.474676,0.525598,-2.136586,0.719437,0.432454,0.545553,0.958043,0.17373,medium
0.535188,0.729519,0.617111,-0.444408,1.391795,2.169286,1.219222,0.768408,0.390772,high
0.500424,0.584625,0.478682,0.691602,0.599081,0.193934,0.835683,0.379802,0.125069,medium
0.767171,0.512873,0.401335,0.485995,0.436954,0.172495,0.802089,0.762808,0.110634,medium
0.640455,0.456196,0.365203,1.190462,0.102036,-0.164438,0.764626,0.661094,0.167173,medium
0.45104,0.546087,0.475499,-0.223405,0.685514,0.269048,0.75103,0.523954,0.248996,medium
