@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-37,39,41-49,51-59'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute pctwdwet2011ws numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.446496,0.688707,0.738195,-1.032071,0.572928,0.436345,0.004425,'\'(0.980205-1.960411]\''
0.312424,0.343572,0.193877,0.215948,-0.511505,-0.551147,0.09972,'\'(-inf-0.980205]\''
0.492989,0.47779,0.303094,0.797162,1.27221,1.309459,0,'\'(-inf-0.980205]\''
0.709647,0.545068,0.504263,0.483118,1.377209,1.021711,0.00816,'\'(0.980205-1.960411]\''
0.439711,0.685618,0.658939,-1.032071,0.837614,0.727383,0,'\'(-inf-0.980205]\''
0.341788,0.411807,0.178694,-0.889733,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.195583,0.474676,0.525598,-2.136586,0.123186,-0.029177,0.204936,'\'(0.980205-1.960411]\''
0.535188,0.729519,0.617111,-0.444408,1.578131,1.384773,0,'\'(1.960411-inf)\''
0.500424,0.584625,0.478682,0.691602,1.29944,1.363342,0.599774,'\'(0.980205-1.960411]\''
0.767171,0.512873,0.401335,0.485995,1.425813,1.43254,0.06642,'\'(0.980205-1.960411]\''
0.640455,0.456196,0.365203,1.190462,1.011983,1.006032,0.532517,'\'(0.980205-1.960411]\''
0.45104,0.546087,0.475499,-0.223405,0.870642,0.795333,0,'\'(0.980205-1.960411]\''
0.854468,0.720104,0.54671,0.564535,3.01505,3.869519,0.720848,'\'(0.980205-1.960411]\''
0.62344,0.465031,0.141612,-0.86331,-0.966664,-0.850623,0.380653,'\'(-inf-0.980205]\''
0.071513,0.4197,0.579311,1.262765,-0.392797,-0.460603,0.00802,'\'(0.980205-1.960411]\''
0.620512,0.497024,0.250829,0.176345,1.126053,1.005905,0.32878,'\'(-inf-0.980205]\''
0.890324,0.531747,0.353296,-0.075353,-0.966664,-0.850623,0.508048,'\'(0.980205-1.960411]\''
0.914493,0.444688,0,-0.179581,2.012442,2.138785,0.240589,'\'(-inf-0.980205]\''
0.470169,0.63949,0.618712,-1.006285,0.928049,0.846245,0,'\'(-inf-0.980205]\''
0.748077,0.503566,0.357389,0.456115,2.211195,2.641692,0.216378,'\'(0.980205-1.960411]\''
0.685862,0.552252,0.290193,1.912129,0.823302,0.631698,0.678649,'\'(-inf-0.980205]\''
0.480747,0.774583,0.881889,-1.006285,1.231088,1.165873,0,'\'(1.960411-inf)\''
0.729684,0.608164,0.475499,1.604788,0.24025,0.040095,0.006859,'\'(0.980205-1.960411]\''
0.090882,0.608308,0.633245,-1.059539,-0.050703,-0.168781,0.014915,'\'(0.980205-1.960411]\''
0.506482,0.448454,0.372571,0.241102,0.509861,0.390843,0.060168,'\'(0.980205-1.960411]\''
0.782602,0.422079,0.325568,-0.150149,0.258692,0.097964,0.492937,'\'(0.980205-1.960411]\''
0.560666,0.543781,0.398438,-0.302777,-0.966664,-0.850623,0.560798,'\'(0.980205-1.960411]\''
0.723003,0.410508,0.275856,1.335935,1.232084,1.315417,0.018641,'\'(-inf-0.980205]\''
0.738837,0.409192,0.309091,0.609197,0.506792,0.393267,0,'\'(-inf-0.980205]\''
0.752154,0.539421,0.417468,-0.299107,-0.966664,-0.850623,0.673894,'\'(0.980205-1.960411]\''
0.9158,0.398548,0.141612,0.470312,-0.568461,-0.617012,0.533009,'\'(-inf-0.980205]\''
0.579184,0.422861,0.250829,0.812461,0.661209,0.576846,0.709894,'\'(0.980205-1.960411]\''
0.535669,0.571756,0.480245,1.181791,-0.301854,-0.373123,0.598304,'\'(1.960411-inf)\''
0.716996,0.425933,0.250829,-0.31946,-0.966664,-0.850623,0.763213,'\'(-inf-0.980205]\''
0.516524,0.414362,0.230959,0.729798,2.402228,2.848387,0.103763,'\'(-inf-0.980205]\''
0.866861,0.42325,0.268042,0.83824,-0.757572,-0.724581,0.251528,'\'(-inf-0.980205]\''
0.415719,0.62856,0.550367,-1.438718,0.026504,-0.099957,0.034689,'\'(-inf-0.980205]\''
0.438951,0.617552,0.675324,-1.032071,0.771724,0.650291,0,'\'(-inf-0.980205]\''
0.32661,0.441448,0.320306,-0.565089,-0.966664,-0.850623,0.001732,'\'(0.980205-1.960411]\''
0.847975,0.441448,0.320306,1.277346,0.652256,0.446175,0.48242,'\'(-inf-0.980205]\''
0.48752,0.667128,0.525598,-0.822743,0.09764,-0.090512,0,'\'(0.980205-1.960411]\''
0.483319,0.54391,0.424836,-0.339956,0.311567,0.153826,0.012867,'\'(0.980205-1.960411]\''
0.779908,0.488365,0.31482,0.86224,-0.61988,-0.640277,0,'\'(-inf-0.980205]\''
0.591557,0.550683,0.290193,-0.017649,-0.966664,-0.850623,0.900194,'\'(0.980205-1.960411]\''
0.919859,0.378911,0.141612,-0.006387,-0.966664,-0.850623,0.33328,'\'(-inf-0.980205]\''
0.348929,0.67875,0.571136,-0.077369,1.324243,1.389544,0.06557,'\'(1.960411-inf)\''
0.896686,0.420896,0.259722,0.112375,-0.966664,-0.850623,0.474814,'\'(-inf-0.980205]\''
0.931565,0.390483,0.178694,-0.179581,-0.966664,-0.850623,0.460353,'\'(-inf-0.980205]\''
0.487676,0.59045,0.588348,-1.006285,0.787096,0.625383,0.019465,'\'(0.980205-1.960411]\''
