@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,9-19,21-30,32,34-38,40-43,45-51,53-59-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute runoffws numeric
@attribute logchl_A {low,medium,high}

@data
0.668285,0.890324,0.531747,0.353296,-0.075353,0.549679,-1.10481,-0.920603,3.162537,0.769757,medium
0.823982,0.914493,0.444688,0,-0.179581,0.246634,2.074011,2.141491,-0.162538,0.784102,low
0.834247,0.470169,0.63949,0.618712,-1.006285,0.025958,0.980903,0.873483,-0.52213,0.407286,low
0.339117,0.748077,0.503566,0.357389,0.456115,0.408218,1.177126,2.269387,1.775806,0.727355,medium
0.671442,0.685862,0.552252,0.290193,1.912129,0.396608,0.843234,0.80457,1.669931,0.720647,low
0.866083,0.480747,0.774583,0.881889,-1.006285,0.057651,1.179563,1.231732,-0.42554,0.461291,high
0.65536,0.729684,0.608164,0.475499,1.604788,0.325436,0.295492,0.178661,1.087283,0.709852,medium
0.757027,0.090882,0.608308,0.633245,-1.059539,0.000137,0.07462,-0.144893,-0.591033,0.639002,medium
0.556265,0.506482,0.448454,0.372571,0.241102,0.322392,0.614799,0.415931,1.047772,0.66291,medium
0.38472,0.782602,0.422079,0.325568,-0.150149,0.353117,-0.434055,0.175443,1.293852,0.736382,medium
0.933479,0.560666,0.543781,0.398438,-0.302777,0,-1.10481,-0.920603,-0.591376,0.682401,medium
0.377576,0.723003,0.410508,0.275856,1.335935,0.174483,0.481468,1.158964,0.071438,0.825204,low
0.474534,0.738837,0.409192,0.309091,0.609197,0.089968,0.60974,0.409527,-0.301526,0.756169,low
0.108831,0.752154,0.539421,0.417468,-0.299107,0.595189,-1.10481,-0.920603,3.635349,0.685848,medium
0.667104,0.9158,0.398548,0.141612,0.470312,0.39288,-0.442544,-0.591153,1.778726,0.799673,low
0.246116,0.579184,0.422861,0.250829,0.812461,0.133373,0.63148,0.565045,-0.131657,0.771962,medium
0.281279,0.535669,0.571756,0.480245,1.181791,0.195971,-0.530806,-0.385737,0.189358,0.712707,high
0.828812,0.716996,0.425933,0.250829,-0.31946,0,-1.10481,-0.920603,-0.591376,0.684186,low
0.417645,0.516524,0.414362,0.230959,0.729798,0.227823,1.514763,2.521168,0.376825,0.72336,low
0.635286,0.866861,0.42325,0.268042,0.83824,0.117715,-0.71187,-0.759993,-0.199225,0.770314,low
0.970683,0.415719,0.62856,0.550367,-1.438718,0.026814,0.143937,-0.069476,-0.529166,0.306267,low
0.874697,0.438951,0.617552,0.675324,-1.032071,0.003546,0.774167,0.710968,-0.582408,0.341639,low
0.419838,0.32661,0.441448,0.320306,-0.565089,0,-1.10481,-0.920603,-0.591376,0.292154,medium
0.74789,0.847975,0.441448,0.320306,1.277346,0.209639,0.886019,0.617936,0.275254,0.792098,low
0.820469,0.48752,0.667128,0.525598,-0.822743,0.025763,0.171523,0.033226,-0.522864,0.512234,medium
0.649964,0.483319,0.54391,0.424836,-0.339956,0.10623,0.387651,0.227552,-0.247116,0.59485,medium
0.462065,0.779908,0.488365,0.31482,0.86224,0.461491,-0.5808,-0.642831,2.376594,0.73729,low
0.859435,0.591557,0.550683,0.290193,-0.017649,0.014093,-1.10481,-0.920603,-0.554917,0.704258,medium
0.717548,0.919859,0.378911,0.141612,-0.006387,0.333813,-1.10481,-0.920603,1.138623,0.75603,low
